itemid,Title,category,item_rating,image,discription,price
2,"Fresho Green Peas, 500 gm ",FruitVegetables,5,10000283_11-fresho-green-peas.jpg,"500 gm - Rs 10.00
250 gm - Rs 6.00
1 kg - Rs 21.00",10
3,"Fresho Banana - Robusta, 1 kg ",FruitVegetables,3,10000025_24-fresho-banana-robusta.jpg,"1 kg - Rs 23.00
500 gm - Rs 12.00",23
4,"Fresho Ladies Finger, 1 kg ",FruitVegetables,2,10000142_16-fresho-ladies-finger.jpg,"1 kg - Rs 59.00
250 gm - Rs 15.00
500 gm - Rs 30.00",59
5,"Fresho Tomato - Hybrid, 1 kg ",FruitVegetables,5,10000200_17-fresho-tomato-hybrid.jpg,"1 kg - Rs 18.00
500 gm - Rs 10.00",18
6,"Fresho Pomegranate, 1 kg ",FruitVegetables,5,20000708_14-fresho-pomegranate.jpg,"1 kg - Rs 69.00
500 gm - Rs 40.00",69
7,Saffola Gold - Pro Healthy Lifestyle Edi,FoodgrainsoilMasala,5,147493_11-saffola-gold-pro-healthy-lifestyle-edible-oil.jpg,"5 lt Jar - Rs 649.00
2x1 L ( Multipack ) - Rs 278.00
2x2 L ( Multipack ) - Rs 611.00
3x1 L ( Multipack ) - Rs 417.00
1 lt Pouch - Rs 139.00
2 lt Jar - Rs 274.95",649
8,"bb Royal Whole Wheat Atta, 5 kg ",FoodgrainsoilMasala,5,40099240_8-bb-royal-whole-wheat-atta.jpg,"5 kg - Rs 149.00
1 kg - Rs 44.00
10 kg - Rs 295.00",149
9,"Daawat Basmati Rice - Rozana Super 90, 5",FoodgrainsoilMasala,5,40075197_2-daawat-basmati-rice-rozana-super-90.jpg,"5 kg - Rs 349.00
1 kg - Rs 69.00",349
10,"bb Royal Besan - Flour, 500 gm ",FoodgrainsoilMasala,5,10000475_7-bb-royal-besan-flour.jpg,"500 gm - Rs 42.00
1 kg Pouch - Rs 89.00",42
11,"Madhur Sugar - Refined, 5 kg Pouch",FoodgrainsoilMasala,2,214431_6-madhur-sugar-refined.jpg,"5 kg Pouch - Rs 221.50
1 kg Pouch - Rs 46.50",221
12,"Parle Rusk - Real Elaichi, 200 gm ",BakerycakesDairy,4,30008655_8-parle-rusk-real-elaichi.jpg,good test,28
13,"Amul Lassi - Rose Flavor, 200 ml Carton",BakerycakesDairy,3,40013013_1-amul-lassi-rose-flavor.jpg,"200 ml Carton - Rs 14.10
1 lt Carton - Rs 61.10 (Out of Stock)",14
14,"Bauli Spyroll, 37 gm ",BakerycakesDairy,5,40158399_1-bauli-spyroll.jpg,,20
15,"Metro Bread - White Sliced, Metro Kattu,",BakerycakesDairy,5,40076722_2-metro-bread-white-sliced-metro-kattu.jpg,,18
16,"Kalory Bun, 200 gm ",BakerycakesDairy,5,40096153_1-kalory-bun.jpg,,20
17,"Nescafe Latte, 25 gm ",Beverage,5,40090542_4-nescafe-latte.jpg,Standard Delivery: Tomorrow Morning,23.5
18,"Bisleri Mineral Water, 24x500 ml Multi P",Beverage,5,1200137_1-bisleri-mineral-water.jpg,"24x500 ml Multi Pack - Rs 218.88
1 L Bottle - Rs 18.80
2 L Bottle - Rs 28.20
500 ml Bottle - Rs 9.40",218
19,"Bournvita Pro-Health Chocolate Drink, 2x",Beverage,5,1203451_1-bournvita-pro-health-chocolate-drink.jpg,"2x1 kg ( Multipack ) - Rs 689.32
1 kg Jar - Rs 355.32
500 gm Jar - Rs 202.10",689
21,"Kinley Club Soda, 750 ml ",Beverage,5,265680_5-kinley-club-soda.jpg,,15
