userid,itemid,rating,timestamp
1,2,4,964982703
1,3,4,964981247
1,4,4,964982224
1,5,5,964983815
1,6,5,964982931
1,7,3,964982400
1,8,5,964980868
1,9,4,964982176
1,10,5,964984041
1,11,5,964984100
1,12,5,964983650
1,13,5,964981208
1,14,3,964980985
1,15,5,964981179
1,16,4,964980908
1,17,5,964981680
1,18,3,964982967
1,19,3,964982310
1,21,5,964981179
1,22,4,964982563
1,23,4,964980962
1,24,5,964982588
1,25,4,964981710
1,26,3,964982363
1,27,4,964980868
1,29,5,964981909
1,30,4,964982346
1,31,3,964981208
1,32,5,964984002
1,34,4,964981179
1,35,4,964982653
1,36,5,964984153
1,37,4,964982546
1,38,4,964982271
2,2,3,1445714835
2,3,4,1445715029
2,4,4.5,1445715228
2,5,4,1445714885
2,6,4,1445714952
2,7,3.5,1445714960
2,8,4,1445715013
2,9,4,1445715064
2,10,4.5,1445715141
2,11,5,1445714980
2,12,4.5,1445715154
2,13,3,1445714974
2,14,4,1445714926
2,15,3,1445714941
2,16,4,1445714841
2,17,4.5,1445715340
2,18,5,1445715172
2,19,4,1445715166
2,21,5,1445715189
2,22,3.5,1445714891
2,23,2.5,1445714938
2,24,3.5,1445714874
2,25,5,1445714966
2,26,3,1445715145
2,27,4,1445714882
2,29,2,1445715276
2,30,3.5,1445714854
2,31,5,1445715272
2,32,5,1445714851
3,34,0.5,1306463578
3,35,0.5,1306464275
3,36,0.5,1306463619
3,37,0.5,1306464228
3,38,0.5,1306463595
3,2,5,1306463611
3,3,0.5,1306463567
3,4,0.5,1306463627
3,5,0.5,1306464216
3,6,0.5,1306463569
3,7,0.5,1306463624
3,8,3.5,1306463323
3,9,0.5,1306464189
3,10,3,1306463561
3,11,4.5,1306464003
3,12,0.5,1306464175
3,13,0.5,1306463572
3,14,0.5,1306464261
3,15,2,1306463559
3,16,4,1306463631
3,17,0.5,1306464293
3,18,5,1306463925
3,19,4.5,1306464054
3,21,0.5,1306463638
3,22,5,1306463603
4,25,3,986935199
4,26,2,945173447
4,27,3,986935047
4,29,2,945173425
4,30,3,964622786
4,31,3,964538444
4,32,4,986848784
4,34,5,964622758
4,35,1,986848920
4,36,5,945078571
4,37,3,945078428
4,38,5,964622565
4,2,2,945079259
4,3,5,945079078
4,4,1,945629040
4,5,5,964622684
4,6,2,945173513
4,7,3,986848894
4,8,5,945079259
4,9,5,964538468
4,10,1,945173350
4,11,5,945079182
4,12,5,964538500
5,2,5,847435337
5,3,3,847435292
5,4,4,847435238
5,5,3,847435129
5,6,1,847435311
5,7,5,847435311
5,8,5,847434748
5,9,3,847435337
5,10,2,847434832
5,11,3,847434880
5,12,3,847434802
5,13,3,847434832
5,14,2,847435238
5,15,3,847434882
5,16,4,847435129
5,17,2,847434748
5,18,3,847435292
5,19,4,847434801
5,21,4,847435337
5,22,5,847435311
5,23,3,847435129
5,24,5,847434960
5,25,4,847435258
5,26,3,847435311
5,27,4,847434801
5,29,3,847435258
5,30,5,847434747
5,31,3,847434747
5,32,5,847435238
5,34,5,847434832
5,35,5,847435292
5,36,3,847434962
5,37,3,847435258
6,2,4,845553522
6,3,5,845554296
6,4,3,845554349
6,5,5,845553938
6,6,4,845553757
6,7,4,845554264
6,8,3,845555281
6,9,3,845553253
6,10,4,845553489
6,11,3,845555588
6,12,4,845554505
6,13,4,845553819
6,14,4,845553559
6,15,2,845553382
6,16,2,845553382
6,17,5,845553875
6,18,4,845554397
6,19,3,845553695
6,21,4,845555362
6,22,3,845555402
6,23,3,845553819
6,24,4,845553426
6,25,4,845553354
6,26,5,845553726
6,27,4,845554962
6,29,4,845555607
6,30,3,845553907
6,31,4,845554551
6,32,4,845553317
6,34,1,845553381
6,35,4,845555402
6,36,4,845554263
6,37,4,845555454
7,2,3,1106635520
7,3,4.5,1106635925
7,4,4,1106635987
7,5,5,1106635933
7,6,5,1106635915
7,7,3,1106635937
7,8,5,1106635532
7,9,5,1106635917
7,10,2,1106635714
7,11,3,1106635971
7,12,2.5,1106635940
7,13,3,1106635922
7,14,5,1106635912
7,15,3.5,1106712636
7,16,4,1106635981
7,17,4,1106636810
7,18,4.5,1106635943
7,19,3,1106635685
7,21,4,1106712615
7,22,4,1106635502
7,23,1.5,1106712613
7,24,4,1106635996
7,25,4,1106635462
7,26,4,1106635965
7,27,5,1106635496
7,29,4.5,1106635464
7,30,5,1106712575
